Speaker ID,Hashtag1,Hashtag2,Hashtag3,Hashtag4,Hashtag5,Hashtag6
english109.mp3,명확하다,빠르다,단호하다,사투리가 있다,또박또박 말한다,
english123.mp3,낮다,차분하다,모노톤이다,빠르다,,
english126.mp3,높다,명확하다,빠르다,,,
english138.mp3,빠르다,평범하다,촉박하다,,,
english192.mp3,느리다,높다,음 높낮이가 있다,또박또박 말한다,,
english20.mp3,높다,날카롭다,사투리가 있다,대충 말한다,,
english201.mp3,조용하다,차분하다,낮다,목소리가 갈라진다,,
english218.mp3,아나운서같다,똑부러진다,명확하다,차갑다,기계음같다,
english232.mp3,아나운서같다,음을 늘려말한다,점점 빨라진다,깔끔하다,,
english249.mp3,빠르다,모노톤이다,정말 빠르다,,,
english252.mp3,빠르다,모노톤이다,조용하다,딱딱하다,,
english288.mp3,느리다,낮다,모노톤이다,명확하다,발음이 정확하다,
english314.mp3,딱딱하다,사투리가 있다,모노톤이다,음 끝을 내린다,,
english333.mp3,빠르다,목소리가 갈라진다,목소리가 떨린다,모노톤이다,,
english371.mp3,어리다,높다,따뜻하다,천천히 말한다,,
english377.mp3,소리를 먹는다,꽉 찬 목소리,빠르다,낮다,,
english380.mp3,낮다,느리다,딱딱하다,모노톤이다,강세가 있다,
english383.mp3,나이가 많다,빠르다,코맹맹이 소리,사투리가 있다,,
english411.mp3,코맹맹이 소리,낮다,느리다,모노톤이다,점점 느려진다,숨소리
english412.mp3,매우 낮다,모노톤이다,대충 말하는 것 같다,피곤한 목소리,,
english414.mp3,숨이 차다 ,중간톤의 목소리,목소리가 떨린다,촉박하다,,
english426.mp3,딱딱하다,날카롭다,퉁명스럽다,모노톤이다,낮다,사투리가 있다
english433.mp3,졸리다,낮다,모노톤이다,책을 읽는 것 같다,음 끝을 내린다,차분하다
english455.mp3,울린다,강세가 있다,음을 늘려 말한다,낮다,,
english474.mp3,또박또박 말한다,낮다,강세가 있다,,,
english475.mp3,높다,또박또박 말한다,음 높낮이가 있다,빠르다,,
english477.mp3,느리다,또박또박 말한다,강세가 있다,꽉 찬 목소리,낮다,
english50.mp3,빠르다,기계음 같다,또박또박 말한다,소리가 크다,음의 높낮이가 조금 있다,
english502.mp3,조용하다,차분하다,소리를 먹는다,낮다,,
english506.mp3,느리다,숨소리가 들린다,강세가 있다,딱딱하다,소리가 울린다,
english511.mp3,또박또박 말한다,중간톤의 목소리,중간 속도,,,
english516.mp3,차분하다,낮다,동굴 목소리,숨소리가 들린다,,
english521.mp3,소리를 먹는다,낮다,사투리가 있다,,,
english527.mp3,또박또박 말한다,명확하다,중간톤의 목소리,,,
english529.mp3,빠르다,버벅거린다,낮다,모노톤의 목소리,,
english531.mp3,높다,나이가 많다,느리다,목소리가 떨린다,,
english534.mp3,목소리가 떨린다,조심스럽다,또박또박 말한다,나이가 많다,느리다,
english541.mp3,아나운서 같다,기계음 같다,차분하다,낮다,편안하다,명확하다
english562.mp3,나이가 많다,낮다,사투리가 있다,느리다,,
english565.mp3,빠르다,기계음 같다,모노톤이다,숨소리가 들린다,낮다,